Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1366824   554967    58864   625253        0  5724217    15626     6289      700     2279        0        0      105459   1133625        0        0        0        0       73        0        0        0 
 1366727   554656    58914   625265        0  5724563    15636     5236      688     2096        0        0      105562   1133273        0        0        0        0       84        0        0        0 
 1366677   555004    58914   625263        0  5724214    15638     5906      675     2229        0        0      105562   1133619        0        0        0        0        6        0        0        0 
 1349720   553987    58914   625263        0  5742228    15275     5269      682    19391        0        0      105562   1132602        0        0        0        0        6        0        0        0 
 1359901   562256    58889   625284        0  5724204    22374     6216      676     2353        0        0      105604   1140825        0        0        0        0       46        0        0        0 
 1363627   557968    58884   625296        0  5724211    18256     5237      685     2108        0      192      105671   1136477        0        0        0        0       52        0        0        0 
 1366422   555356    58883   625297        0  5724223    15638     4429      351     1956        0      192      105674   1133862        0        0        0        0        6        0        0        0 
 1366608   554663    58883   625297        0  5724725    15638     3507      462     1299        0        0      105674   1133169        0        0        0        0        4        0        0        0 
 1366500   555139    58883   625296        0  5724222    15638     5766      674     2172        0        0      105674   1133644        0        0        0        0        6        0        0        0 
 1366680   555163    58884   625296        0  5724232    15638     4020      545     1893        0        0      105675   1133668        0        0        0        0        5        0        0        0 
 1366963   555189    58884   625296        0  5724231    15638     6697      816     2324        0        0      105675   1133694        0        0        0        0        7        0        0        0 
 1366526   555207    58885   625296        0  5724235    15638     4384      550     2062        0        0      105676   1133712        0        0        0        0        5        0        0        0 
 1362826   558942    58883   625295        0  5724489    15634    18035     1918     6138        0        0      105712   1137408        0        0        0        0       43        0        0        0 
 1362468   558852    58883   625290        0  5724397    15638     4517      551     2187        0        0      105712   1137313        0        0        0        0        5        0        0        0 
 1362301   558951    58884   625290        0  5724404    15628     6665      822     2223        2        0      105713   1137412        0        0        0        0        7        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1346014   557138    58883   625288        0  5743155    15238 50252706  1242687 41022807      937    69937      105713   1135596        0        0        0        0  1385904        0        0        0 
 1352233   567873    58890   625287        0  5725726    22374    15198     1672     5249        0        0      105743   1146295        0        0        0        0       35        0        0        0 
 1356518   564127    58891   625286        0  5725220    18266     4672      560     2216        0        0      105744   1142545        0        0        0        0        5        0        0        0 
