Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 8050066    21846    10182    30551        0   152684    11123  100172K  2605083 91312315 1314056K   558202       16995     45584   207122    64606  6884762 10630346  640931K     5930      152      488 
 7868919   138849    22284    82254        0   152996     5835   192613     2836   168028        0        0       46245    197142   206364    64345      758        0    23776        0        0        0 
 5655346   176193    22997  1776210        0   633626     8486    23665     3675   281669        0      384     1763571    211829   206166    64282      198        0  1802948        0        0        0 
 3667402   185614    24849  3753273        0   633595     3786     6723     1014    16521        0        0     3742695    221041   206156    64278        9        0  1831828        0        0        0 
 1685980   201046    24470  5718020        0   635459     1118     8022     1014    20138        0      192     5708023    235513   206154    64277        2        0  1825510        0        0        0 
    3641  3810379     1219  3807505        0   635415        0     5712      581    16366  4633835     1118     7529888     89216   292693    71671      176    86715  1752665        0        0        0 
    3808  3792747     4856  3824894        0   621988        0    19400      840    13998  4393028       12     7596337     26160   374695    80919    16156    98233  1655018        1        0        0 
    3808  3090262     3123  3086730        0  2038652       10  1063565      548  1318662   957279        8     6155112     25003   549899   106095    74961   250328   985142        3        0        0 
    3552  2264777      326  2308543        0  3646162        0  1633467      833  1573239   238739       24     4547086     26560   548403   105657     1528      153   848820        8        0        0 
    4000  1743057      480  1779939        0  4694783       16  1232260      593  1050111   772028        8     3503472     20004   554723   107655     1323     8582   804712        6        0        0 
    3825  1346305     1440  1389965        0  5481364        0   783051      805   787894   199281       30     2712085     25625   549182   105595     5350        1   636817        8        0        0 
    3808  1168135      375  1367657        0  5683810        0   255894      553   205077    44468        8     2509427     26740   548835   105490      347        0   620129        1        0        0 
    3545  1066636     4350  1448576        0  5703729    11037    14102      859    24482    17821        8     2478276     41286   529548   102261    19134        0   516328       15        0        0 
    3550  1325054     1352  1326014        0  5583665        0    24417      555    44799  2296231     8999     2639863     12557   387699    89828   254190   112501  1675285       13        0        0 
    3425  1257622     2266  1397278        0  5574906        0    21413      557    10352  1907361       10     2645510     11656   387976    93751    21847    22609  1716602        5        0        0 
    3808  1319408     1342  1317386        0  5588386        0    29387      817    10755  2043506       14     2627416     10720   385785    98379    30909    28730  1714466        3        0        0 
    4049  1317174     1040  1315404        0  5588386        0    23464      552    10595  1861450       10     2624155      9463   387032   102606    22101    23357  1707046        4        0        0 
    4000  1316264     1377  1314352        0  5588373        0    26783      819    10625  1850186       14     2618678     13315   383173   104297    22754    18941  1706685        1        0        0 
    3301  1315091     2170  1316844        0  5586244        0    22691      554    13878  1563922       10     2620780     13325   386110   105704    62387    65402  1545674        3        0        0 
    3553  1315461     3550  1314149        0  5586219        0    28139      871    10945  1861731       29     2617478     15682   383844   106186    23603    21392  1696563        5        0        0 
    3744  1314222     3342  1313458        0  5586246        0    24075      558    10894  1858196       10     2619537     11485   388043   108332    22685    26884  1696233        3        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3928  1315690     3818  1311610        0  5588415        0  105651K  2625335 96922388 1342404K   569128     2610243     20875   378501   105477  7493974 11413702  669367K     6013      152      488 
    3397  1313631     4416  1309177        0  5588449        0    26853      549    11007  1860411       10     2614169     13054   386322   109425    24000    31848  1671883        9        0        0 
    3783  1410808     2229  1407839        0  5396011        0    26355      824     8724  1857474       12     2802736     18140   382630   108793    23304    19621  1497570        0        0        0 
