Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7741760    15432    12451   401833        0   158452    14656 54124458  1383071 45285120     1017    75947       20778    408938        0        0        0        0 11377813        0        0        0 
 7563732   178651    23823   404753        0   158385    15912   185530     2719   161742        0        0       49305    557922        0        0        0        0    23585        0        0        0 
 5887521   272184   138750  1416366        0   615088    22230   247104     3592   488913        0        0     1241058    586242        0        0        0        0  1175545        0        0        0 
 4645412   291931   155491  2622302        0   615072    17514     5510      575    27237        0        0     2463862    605862        0        0        0        0  1194423        0        0        0 
 3435460   314640   112659  3847724        0   619214    14846     8239     1003    30955        0      192     3646498    628525        0        0        0        0  1155049        0        0        0 
 3137705   379360   124205  2624954        0  2063893    14854   370357      588   370496        0        0     2370880    757639        0        0        0        0   398636        0        0        0 
 2975060   348591    86613  1835925        0  3083755    14854    88806      884    83920        0        0     1544499    726630        0        0        0        0   111469        0        0        0 
 2912119   317967    79106  1936037        0  3083883    14854     8042      595     3591        0        2     1638074    695036        0        0        0        0    93375        0        0        0 
 2896624   286673    76073  3160799        0  1909476    14846     9034      864     3744        0        0     2859816    663729        0        0        0        0    45214        0        0        0 
 2484420   130748    77961  4847864        0   789021    14858    25409      590    81781        2        0     4549734    506839        0        0        0        0   265585        0        0        0 
 2078517   142635    78556  5240821        0   789025    25179    22577      864    34438        0        0     4944371    517641        0        0        0        0   298630        0        0        0 
 1793787   131916    33206  5514811        0   855788    18523    19818      586    17570        0        0     5173011    506922        0        0        0        0   218166        0        0        0 
 1798472   129076    33206  5577312        0   791973    14858    20527      724    19792        0      384     5235534    504060        0        0        0        0       31        0        0        0 
 1796358   132024    33217  5579128        0   789402    14858    21039      694    17333        0        0     5237363    507006        0        0        0        0       14        0        0        0 
 1798561   131971    33217  5577312        0   789020    14858    18385      704    15350        0        0     5235547    506953        0        0        0        0        6        0        0        0 
 1796934   133389    33214  5579133        0   787383    14852    16284      698    12512        0        0     5237368    508368        0        0        0        0       11        0        0        0 
 1797870   131147    33212  5577316        0   790693    14852    12595      700     9525        0        0     5235551    506124        0        0        0        0        6        0        0        0 
 1663229   314874    43623  4219268        0  2088864    15611   358590      694   349256        0        0     3887933    689832        0        0        0        0       32        0        0        0 
 1560854   315714    43626  3070415        0  3339596    15626   104652      565   102513        0        0     2739083    690672        0        0        0        0        5        0        0        0 
 1559587   316935    43623  3069323        0  3340675    15626     7890      832     3473        0       15     2737992    691889        0        0        0        0        8        0        0        0 
 1559632   316994    43623  3067411        0  3342585    15626     4468      567     2052        0        0     2736080    691948        0        0        0        0        5        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1558970   317059    43668  3070935        0  3339077    15626 55686088  1402969 47123655     1023    76540     2739671    691991        0        0        0        0 16357660        0        0        0 
 1548309   327790    43721  3063488        0  3346531    25942     4801      563    19382        0        0     2732288    702711        0        0        0        0       51        0        0        0 
 1555562   321101    43722  3061326        0  3348672    19286     6657      824     2306        0        0     2730127    696022        0        0        0        0        7        0        0        0 
 1559487   317051    43731  3064362        0  3345639    15626     4500      560     2072        0      376     2733180    691964        0        0        0        0       12        0        0        0 
 1559075   317194    43861  3068703        0  3341309    15626     6565      830     2227        0        0     2737753    692005        0        0        0        0      194        0        0        0 
 1558936   317308    44244  3064460        0  3345541    15626     4868      565     2140        0        0     2734005    692007        0        0        0        0      377        0        0        0 
 1558082   317359    44269  3067955        0  3342045    15626     6551      833     2176        2        0     2737531    692052        0        0        0        0       38        0        0        0 
 1558540   317429    44269  3066705        0  3343296    15626     4642      565     2221        0        0     2736284    692119        0        0        0        0        8        0        0        0 
 1558222   317389    44270  3071310        0  3338688    15626     6475      829     2167        0        0     2740890    692079        0        0        0        0        7        0        0        0 
 1558378   317392    44270  3068437        0  3341564    15626     4549      563     2145        0        0     2738017    692082        0        0        0        0        5        0        0        0 
 1557679   317550    44304  3063204        0  3346841    15626     5612      693     2261        0        0     2732901    692157        0        0        0        0      125        0        0        0 
