Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3344  2364751      291  2363910        0  2920639        0  962847K 12756367  144172K 2851140K  8469538     4653600     75353  1548874   676219  102643K  111171K  823972K    64041   114075   567377 
    4000  2362439      176  2363136        0  2920480        0    26902     1350     7858  3269870       15     4652989     72762  1552500   679241     6527    10166   247615       18        0        0 
    3293  2343206      220  2383339        0  2919102        0    32408     1588     7410  2801754       17     4653398     73368  1552625   679900     8980     9448   265388        2        0        0 
    3520  2358678      300  2365845        0  2919794        0    19805     1350     7115  3026055       19     4653687     71136  1555293   681482     1389     4058   254881       16        0        0 
    4003  2357788      201  2363704        0  2920566        0    26429     1475     6716  2985696       15     4652948     68745  1557545   683112     5603     7874   251670        4        0        0 
    8163  2343827     3129  2374794        0  2922529    24757    40675     1579    57284  3090314       20     4611318    110432  1543626   677349    16046     2391   218113       11        0        0 
    3596  2343120      371  2378329        0  2922248        2    26842     1478     7064  3369300    24786     4645905     75915  1553411   682238     5219    15030   185960        7        0        0 
    3781  2353224      126  2363102        0  2920615        2     4909      333     1853  2982863       27     4655754     60698  1566278   688932      946    14735   188541       15        0        0 
    3381  2340742      147  2374086        0  2919798        0    26843     1291     7833  3530197       13     4656771     58203  1570577   691376     5310     9606   205392        4        0        0 
    3307  2351967      340  2362318        0  2919312        0    25143     1491     6675  3484853       27     4657812     56813  1571654   691714     4875     5962   198670        3        0        0 
    3494  2356395      622  2356146        0  2919050        0    23397     1456     7672  3086624       15     4657705     55458  1574326   693818     2754     5733   183420        3        0        0 
    4171  2322191      292  2393497        0  2919751        2    42692     1490     7323  3277429       15     4651101     64879  1564926   689961    15508     6112   204158        4        0        0 
    3573  2359301      307  2358468        0  2919713        0    29653     1481     6718  3257192       17     4649522     68554  1560832   687900     7051     3033   284302       52        0        0 
    3616  2354815      234  2360235        0  2919781        0    23630     1472     7670  3122177       13     4653647     61637  1569270   691520     3069    11507   224817        5        0        0 
    3482  2356507      517  2355046        0  2922348        0    35148     1476     7027  3006114       15     4649424     62646  1568018   691879    11410    10391   218763       13        0        0 
    3567  2324009      217  2391419        0  2920640        0    27646     1495     7699  3300629       24     4647737     67908  1564069   689547     5791     1837   180120        4        0        0 
    3318  2356216     2276  2355151        0  2920685       40    27435     1457     7051  3171876       11     4645856     67787  1564175   690815     4686     4957   233954       13        0        0 
