Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4018  3671649     9718  3660887        0   862666     1715   583301     3534    30339  2548851      478     7180409    161845   386552   121433    21466    15655   507627       38        0        0 
    4052  3670504     2234  3667003        0   869975     1889   683901      978    15197  1894073      407     7164667    175074   376372   115754    19630     9569   650147      120        0        0 
    3744  3668172     1836  3665081        0   872765     1544   648280      433    11400  1542743      181     7170718    164371   379329   118306    14549    18696   628799       53        0        0 
    3551  2528068      398  2527337        0  3127063     4516   432458      387    18954  1418294      262     4801213    254590   411709   143351    11869    44352   852538       17        0        0 
    3513  3111648     1138  3109279        0  1676208     5715   150841      930   125905  5935512     7129     6165607     56458   665039   427893   217866   477939  1820381       45        0        0 
    4568  1141590      418  1136444        0  5772246    13544    68229      518    68610    15207     2144     2113325    165127   451500   274917   214431     3125  3804712       42        0        0 
    4122  2721671     2411  5125698        0   212750    10842    74306     1272    75022  1540525     1985     7514154    335626   432688   262826    18142        0    10388        6        0        0 
    4932  2723996     2896  5125682        0   209444    12805    23358      572    46427       11      384     7514903    337671   431506   262430     1097        0      597        0        0        0 
   16419  2728950     4094  5125815        0   192584    11099    23946      834    26339        4      576     7516445    342414   429597   261804     1907        0      610        0        0        0 
    4442  2726802     1548  5125829        0   209702    11154    19472      388    28473        2      386     7514055    340124   428453   261308      886        0      371       10        0        0 
   55347  3778249     4753  3770192        0   233003    12451   453015    12604   340648  3977820      740     7453833     99361   725003   488372    26970   329700    58327      115        0        0 
    5464  3782987    27342  3784201        0   245102     7339   371191    16664   216394     3395      516     7437678    156852   712551   484967    12884     1024    34783       25        0        0 
   47919  3784704    19554  3779883        0   213784    11942    67707      845   109899       77     1099     7430888    153253   709123   483779     2242        0     1631        2        0        0 
   60196  3792187    22101  3777577        0   194772    21227   115721     4061   125491      113      401     7434782    157083   699455   483005     5855        0     2933        0        0        0 
   43747  3792722    10644  3781017        0   219551    28132   175235     2994   274470     5711      413     7397197    187186   696175   482123     7782     4593    18795       31        0        0 
   73189  3789149    11786  3777393        0   196267    31412    23193      561    48028       81      443     7399048    179280   695535   481852      409        0     1092        0        0        0 
   78046  3782671    11802  3774783        0   200785    27033    18969      483    26236       30       24     7399071    170185   694983   481728      527        0       20        0        0        0 
   67238  3781000    11852  3774876        0   213103    25409    19774      564    49559       17      389     7399123    168605   694369   481439      577        0       18        0        0        0 
